ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances,,,,,
FAN,URBAN,Q1,INDIA,NER,AS,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,BR,2021,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,BR,2022,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,BR,2023,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,BR,2024,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,BR,2025,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,BR,2026,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,BR,2027,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,BR,2028,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,BR,2029,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,BR,2030,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,BR,2031,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,CG,2021,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,CG,2022,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,CG,2023,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,CG,2024,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,CG,2025,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,CG,2026,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,CG,2027,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,CG,2028,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,CG,2029,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,CG,2030,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,CG,2031,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,DL,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,DL,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,DL,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,DL,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,DL,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,DL,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,DL,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,DL,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,DL,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,DL,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,DL,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GA,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GA,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GA,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GA,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GA,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GA,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GA,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GA,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GA,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GA,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GA,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GJ,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GJ,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GJ,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GJ,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GJ,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GJ,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GJ,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GJ,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GJ,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GJ,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,GJ,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HP,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HP,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HP,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HP,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HP,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HP,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HP,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HP,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HP,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HP,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HP,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HR,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HR,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HR,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HR,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HR,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HR,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HR,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HR,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HR,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HR,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,HR,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,JH,2021,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,JH,2022,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,JH,2023,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,JH,2024,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,JH,2025,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,JH,2026,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,JH,2027,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,JH,2028,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,JH,2029,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,JH,2030,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,JH,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,JK,2021,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,JK,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,JK,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,JK,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,JK,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,JK,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,JK,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,JK,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,JK,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,JK,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,JK,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KA,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KA,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KA,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KA,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KA,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KA,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KA,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KA,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KA,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KA,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KA,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KL,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KL,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KL,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KL,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KL,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KL,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KL,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KL,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KL,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KL,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,KL,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MH,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MH,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MH,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MH,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MH,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MH,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MH,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MH,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MH,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MH,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MH,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,MP,2021,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,MP,2022,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,MP,2023,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,MP,2024,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,MP,2025,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,MP,2026,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,MP,2027,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,MP,2028,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,MP,2029,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,MP,2030,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,MP,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NER,NE,2021,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NER,NE,2022,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NER,NE,2023,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NER,NE,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NER,NE,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NER,NE,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NER,NE,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NER,NE,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NER,NE,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NER,NE,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NER,NE,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,OD,2021,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,OD,2022,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,OD,2023,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,OD,2024,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,OD,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,OD,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,OD,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,OD,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,OD,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,OD,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,OD,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,PB,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,PB,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,PB,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,PB,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,PB,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,PB,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,PB,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,PB,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,PB,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,PB,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,PB,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,RJ,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,RJ,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,RJ,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,RJ,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,RJ,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,RJ,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,RJ,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,RJ,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,RJ,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,RJ,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,RJ,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TN,2021,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,SR,TN,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TN,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TN,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TN,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TN,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TN,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TN,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TN,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TN,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TN,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TS,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TS,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TS,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TS,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TS,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TS,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TS,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TS,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TS,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TS,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,SR,TS,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,UK,2021,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UK,2022,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UK,2023,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UK,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,UK,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,UK,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,UK,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,UK,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,UK,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,UK,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,UK,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,NR,UP,2021,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UP,2022,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UP,2023,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UP,2024,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UP,2025,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UP,2026,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UP,2027,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UP,2028,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UP,2029,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UP,2030,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,NR,UP,2031,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,WR,UT,2021,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,UT,2022,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,UT,2023,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,UT,2024,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,UT,2025,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,UT,2026,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,UT,2027,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,UT,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,UT,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,UT,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,WR,UT,2031,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,WB,2021,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,WB,2022,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,WB,2023,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,WB,2024,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,WB,2025,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,WB,2026,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,WB,2027,1.81624181,,,,,
FAN,URBAN,Q1,INDIA,ER,WB,2028,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,WB,2029,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,WB,2030,1.923868423,,,,,
FAN,URBAN,Q1,INDIA,ER,WB,2031,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,SR,AP,2021,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,SR,AP,2022,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,SR,AP,2023,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,SR,AP,2024,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,SR,AP,2025,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,SR,AP,2026,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,SR,AP,2027,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,SR,AP,2028,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,SR,AP,2029,2.078222078,,,,,
FAN,URBAN,Q2,INDIA,SR,AP,2030,2.078222078,,,,,
FAN,URBAN,Q2,INDIA,SR,AP,2031,2.078222078,,,,,
FAN,URBAN,Q2,INDIA,NER,AS,2021,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NER,AS,2022,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NER,AS,2023,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NER,AS,2024,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NER,AS,2025,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NER,AS,2026,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NER,AS,2027,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NER,AS,2028,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NER,AS,2029,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NER,AS,2030,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NER,AS,2031,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,BR,2021,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,ER,BR,2022,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,ER,BR,2023,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,ER,BR,2024,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,ER,BR,2025,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,ER,BR,2026,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,ER,BR,2027,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,BR,2028,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,BR,2029,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,BR,2030,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,BR,2031,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,CG,2021,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,WR,CG,2022,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,WR,CG,2023,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,WR,CG,2024,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,WR,CG,2025,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,WR,CG,2026,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,WR,CG,2027,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,WR,CG,2028,1.81624181,,,,,
FAN,URBAN,Q2,INDIA,WR,CG,2029,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,CG,2030,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,CG,2031,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,DL,2021,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,DL,2022,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,DL,2023,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,DL,2024,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,DL,2025,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,DL,2026,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,DL,2027,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,DL,2028,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,DL,2029,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,DL,2030,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,DL,2031,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GA,2021,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GA,2022,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GA,2023,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GA,2024,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GA,2025,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GA,2026,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GA,2027,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GA,2028,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GA,2029,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GA,2030,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GA,2031,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GJ,2021,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GJ,2022,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GJ,2023,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GJ,2024,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GJ,2025,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GJ,2026,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GJ,2027,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GJ,2028,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GJ,2029,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GJ,2030,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,WR,GJ,2031,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HP,2021,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HP,2022,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HP,2023,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HP,2024,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HP,2025,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HP,2026,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HP,2027,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HP,2028,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HP,2029,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HP,2030,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HP,2031,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HR,2021,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HR,2022,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HR,2023,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HR,2024,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HR,2025,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HR,2026,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HR,2027,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HR,2028,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,HR,2029,2.078222078,,,,,
FAN,URBAN,Q2,INDIA,NR,HR,2030,2.078222078,,,,,
FAN,URBAN,Q2,INDIA,NR,HR,2031,2.078222078,,,,,
FAN,URBAN,Q2,INDIA,ER,JH,2021,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,JH,2022,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,JH,2023,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,JH,2024,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,JH,2025,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,JH,2026,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,JH,2027,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,JH,2028,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,JH,2029,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,JH,2030,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,ER,JH,2031,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,JK,2021,1.923868423,,,,,
FAN,URBAN,Q2,INDIA,NR,JK,2022,1.923868423,,,,,
